Name,Party,Status 20221114,Year,Twitter,Href,Position,State
Daryl Simpson,unknown,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/DarylMSimpson', 'Personal Twitter': 'https://www.twitter.com/migovernor2022'})",https://ballotpedia.org/Daryl_Simpson,Governor,Michigan
Evan Space,Independent,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/GovernorSpace'})",https://ballotpedia.org/Evan_Space,Governor,Michigan
Kevin Rinke,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/KevinRinke'})",https://ballotpedia.org/Kevin_Rinke,Governor,Michigan
Garrett Soldano,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/GarrettForMI', 'Personal Twitter': 'https://www.twitter.com/GarrettSoldano'})",https://ballotpedia.org/Garrett_Soldano,Governor,Michigan
Ryan Kelley,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Ryan_Kelley,Governor,Michigan
Ralph Rebandt,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/RalphRebandt'})",https://ballotpedia.org/Ralph_Rebandt,Governor,Michigan
James Craig,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/chiefjamescraig', 'Personal Twitter': 'https://www.twitter.com/chiefjecraigdpd'})",https://ballotpedia.org/James_Craig_(Michigan),Governor,Michigan
Elizabeth Adkisson,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Elizabeth_Adkisson,Governor,Michigan
Justin Blackburn,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Justin_Blackburn,Governor,Michigan
Garlin Gilchrist  II,Democratic,Last elected,2022.0,"defaultdict(<class 'str'>, {'Official Twitter': 'https://www.twitter.com/LtGovGilchrist', 'Personal Twitter': 'https://www.twitter.com/garlin'})",https://ballotpedia.org/Garlin_Gilchrist_II,Governor,Michigan
